noun,translation
pir̃štas,finger
pir̃štinė,glove
pižamà,pajamas
plãnas,plan
pláukas,hair
plaũtis,lung
pléistras,patch
pliãžas,beach
plótas,area
plõtis,width
póilsis,rest
polìcininkas,policeman
poliklìnika,polyclinic
pómėgis,hobby
pomidòras,tomato
põpierius,paper
pòrtfelis,briefcase
pósėdis,meeting
prãšymas,request
príeškambaris,hallway
príeskonis,flavoring
próga,opportunity
psichiãtras,psychiatrist
pūgà,snowstorm
púodas,pot
puodẽlis,cup
puodùkas,cup
pupẽlė,bean
pùsbrolis,cousin
pùsė,half
pùsseserė,cousin
pyragáitis,pastry
pyrãgas,cake
rãktas,key
rankà,arm
rankinùkas,handbag
rañkšluostis,towel
recèptas,recipe
registratūrà,reception
riekė̃,slice
ríešutas,walnut
rugpjū́tis,August
rugsė́jis,September
rū̃kas,fog
rūsỹs,basement
sagė̃,brooch
šakà,branch
šakùtė,fork
salà,island
šaldytùvas,refrigerator
sãlė,hall
saliẽras,celery
šãlikas,scarf
šal̃tis,frost
šampãnas,champagne
są́siuvinis,notebook
są́skaita,account
šáukštas,spoon
šaukštẽlis,spoon
sáulė,sun
saulė́grąža,sunflower
šaulỹs,Sagittarius
sausaĩnis,biscuit
saũsis,January
saváitė,week
sąvaržė̃lė,paper clip
segtùvas,binder
sėkmė̃,success
sekretõrė,secretory
seminãras,seminar
senẽlis,grandfather
šepetỹs,brush
serbeñtas,currant
šiáurė,north
sidãbras,silver
síena,wall
sijõnas,skirt
šìldymas,heating
šil̃kas,silk
šilumà,heat
sintètika,synthetics
širdìs,heart
siuntinỹs,parcel
skarẽlė,head scarf
skaũsmas,pain
skė̃tis,umbrella
skiẽpas,vaccination
skolà,debt
skorpiònas,Scorpius
skrañdis,stomach
skrybėlė̃,hat
skùduras,rag
skùlptorius,sculptor
skulptūrà,sculpture
skỹrius,chapter
slaũgė,nurse
slìdė,ski
slogà,runny nose
šluõstė,rag
šlúota,broom
slyvà,plum
smãkras,forehead
smeigtùkas,pushpin
sniẽgas,snow
sõdas,garden
sodýba,estate
sofà,sofa
spãlis,October
spalvà,color
spektãklis,performance
spìnta,wardrobe
spintẽlė,locker
spòrtas,sport
spòrtininkas,athlete
stadiònas,stadium
stãlas,table
stálčius,drawer
stiklaĩnis,glass jar
stiklìnė,glass
stógas,roof
striùkė,jacket
studeñtas,student
šukúosena,haircut
šulinỹs,well
sūnùs,son
suoliùkas,bench
sū́ris,cheese
susirinkìmas,meeting
susitikìmas,meeting
sutartìs,contract
varškė̃,cottage cheese
sveikatà,health
svéikinimas,greeting
šveñtė,holiday
svetaĩnė,living room
svíestas,butter
šviestùvas,lamp
svogū̃nas,onion
svõris,weight
tablètė,pill
tãkas,path
tapýba,painting
tapýtojas,painter
taurė̃,wineglass
teãtras,theatre
telefònas,phone
temperatūrà,temperature
tènisas,teniss
tẽpalas,ointment
termomètras,thermometer
tetà,aunt
tė́vas,father
tinklìnis,volleyball
tòrtas,cake
tradìcija,tradition
transpòrtas,transport
traukinỹs,train
trintùkas,eraser
tualètas,toilet
turìstas,tourist
tušinùkas,pen
barzdà,beard
dar̃žas,vegetable garden
tvenkinỹs,pond
tvorà,fence
tyrìmas,study
ū̃gis,height
úodas,mosquito
úoga,berry
uogiẽnė,jam
ùpė,river
ū̃sas,moustache
uždegìmas,inflammation
užtrauktùkas,zipper
užúolaida,curtain
vaidmuõ,role
vaĩkas,child
vaikìnas,guy
vainìkas,wreath
vairúotojas,driver
vaĩsius,fruit
váistas,medicine
vaivórykštė,rainbow
vãkaras,evening
vakarė̃lis,party
valandà,hour
valiutà,currencỳ
váltis,boat
vandẽnis,ocean
vanduõ,water
vanìlė,vanilla
švar̃kas,jacket
var̃das,name
vasãris,February
vedė́jas,chief
véidas,face
véidrodis,mirror
vejà,lawn
vė́jas,wind
vė̃liava,flag
vėžỹs,tortoise
vidùrdienis,noon
vidùrnaktis,midnight
viẽšbutis,hotel
vietà,place
vìlna,wave
virdulỹs,kettle
vir̃šininkas,chief
virtùvė,kitchen
virỹklė,stove
vištà,chicken
vištíena,chicken
vizà,visa
vókas,envelope
vonià,bathroom
vorãtinklis,spiderweb
vỹnas,wine
vỹnuogė,grape
výras,man
vyšnià,cherry
žaĩbas,lightning
žaĩslas,toy
žaizdà,wound
žąsìs,goose
žemė́lapis,map
žénklas,sign
žíedas,ring
žìrgas,horse
žìrnis,pea
žiūrõvas,spectator
žmonà,wife
žõdis,word
žolė̃,grass
žuvìs,fish
žvãkė,candle
žỹgis,hike
